Episode,Who said it:,Who was it said to:,Text:
1,,,You can't get away!
1,,,Hey!
1,,,Come on!
1,,,Oh.
1,Vi,Jinx,This way!
1,,,Keep going!
1,,,"Go, go, go!"
1,,,"Oh, man, not again."
1,,,I just got this shirt...
1,,,Thought last time was the last time we were gonna do this.
1,Vi,Mylo,"Well, this time's the last time."
1,,,"Guys, what was that? What the hell happened back there?"
1,Jinx,Mylo,I don't know. I didn't do anything.
1,,,You could fill a damn library with all the things you didn't do.
1,Vi,Mylo,"Guys, we just emptied a Piltover penthouse right under the enforcers' noses."
1,Vi,Mylo,"So, if you're done beating yourselves up, let's get this home."
1,,,Nice haul?
1,,,You could say that.
1,,,I heard there was some action across the river.
1,,,"Someone, uh, someone really kicked the nest, huh?"
1,Vi,Deckerd,Is that so?
1,,,"But now you're, you're tracking this mess of yours through my streets."
1,Vi,Deckerd,Your streets? What makes you think...
1,,,"Listen, we don't want any trouble, okay?"
1,,,"Hear that, Deckard? They don't want any trouble."
1,,,"You know, in my experience, trouble finds you."
1,,,There's no reason this has to get ugly.
1,,,How about you share a little taste of your treasure there and we'll call it even?
1,,,"No, no, no. We worked too hard to..."
1,Vi,Deckerd,Just a taste?
1,,,Just a...
1,,,Huh?
1,,,Huh.
1,,,This day's turning out all right after all.
1,,,Wait!
1,Vi,Deckerd,Wanna see how that ends?
1,Vi,Claggor,Where's Powder?
1,,,Oh! Oh! You little...
1,,,Oh!
1,Jinx,Mouser,"Come on, Mouser, I need you!"
1,Jinx,,No.
1,Mylo,Jinx,You did what?
1,Jinx,Mylo,I'm sorry.
1,Jinx,Mylo,"I tried to fight him off with Mouser, but... she didn't work."
1,,,Who saw that coming?
1,,,We never should have gone over there.
1,Vi,Claggor,Doesn't matter. The stuff's gone.
1,Vi,Jinx,"It's all right, Powder. At least you're okay."
1,,,Okay? What about us?
1,,,"I get my face bashed in, and she just gets a pass?"
1,Vi,Mylo,Yup.
1,,,"Every time. Every time she comes, something goes wrong."
1,,,She jinxes every job.
1,Vi,Mylo,"Just drop it, Mylo."
1,,,Sit still!
1,,,"Come on, get out of here!"
1,,,You gotta pay!
1,,,Look at that!
1,,,Hey! Watch it.
1,,,Hey!
1,,,"Well, I, uh, suppose that concludes our business, then."
1,,,Mm. I suppose it does.
1,,,Wait...
1,,,"Uh, wait a minute."
1,,,"This, uh..."
1,,,"uh, this... isn't what we agreed on, so..."
1,,,"Well, demand for your wares has dropped since we made our arrangements."
1,,,This is the new value.
1,,,"Uh, wait, wait, wait, wait, wait. We, um..."
1,,,we shook on it.
1,,,Ten thousand.
1,,,Such are the risks of business.
1,,,Ten.
1,,,It's a fair price.
1,,,I think you should take it.
1,,,"No, no, no, no. No, no, no, no, no."
1,,,I can't do that. I can't do that!
1,,,Make your choice.
1,,,You folks need anything?
1,,,Leave us.
1,,,You sure about that?
1,,,Sounded to me like...
1,,,Piss off.
1,,,Ah.
1,,,I think I know what you need.
1,,,"You don't seem to listen, barman..."
1,,,A bit of advice.
1,,,Don't threaten the guy who pours the drinks.
1,,,So you're Vander.
1,,,Hound of the Underground.
1,,,I expected something... younger.
1,,,"We were expecting traders who would honor their word,"
1,,,so I guess we're all disappointed.
1,,,"You got us all wrong, my friend."
1,,,We were just... negotiating.
1,,,Now you're speaking my language.
1,,,"How about you just give Huck the rest of what you owe him,"
1,,,and I'll let you walk out of here in one piece?
1,,,"Do we, uh... have a deal?"
1,,,This is vile.
1,,,You'll learn to love it.
1,,,Welcome to the Lanes.
1,Vi,Claggor,Vander learns none of this.
1,Mylo,Vi,No worries there. Powder took care of the evidence.
1,Jinx,Mylo,"I tried, okay? You don't get it. You're older, you're bigger."
1,Jinx,Mylo,"It, it isn't fair."
1,,,So stick with us!
1,,,Take a punch or two.
1,,,Everyone all right?
1,,,Never better.
1,,,Good.
1,,,I don't suppose you can explain why it is that I'm hearing about an explosion
1,,,and a foot chase topside?
1,,,Four children fleeing the scene.
1,,,What the hell were you thinking?
1,Vi,Vander,That we can handle a real job.
1,,,A real job?
1,Vi,Vander,"We got our own tip, planned a route, nobody even saw."
1,,,You blew up a building.
1,Vi,Vander,That wasn't...
1,,,Did you even stop to think about what could have happened to you?
1,,,Eh? To them?
1,,,Where did you even get this tip?
1,Jinx,Vander,We just heard it at Benzo's shop.
1,,,From?
1,Jinx,Vader,Little Man.
1,Vi,Vander,"I took us there. If you wanna be mad, be mad at me."
1,Vi,Vander,But you're the one who always says we have to earn our place in this world.
1,,,"I also told you time and time again, the Northside's off-limits."
1,,,We stay out of Piltover's business.
1,Vi,Vander,Why?
1,Vi,Vander,"They've got plenty, while we're down here scraping together coins."
1,Vi,Vander,When did you get so comfortable living in someone else's shadow?
1,,,Everyone out.
1,,,Sit down.
1,Vi,Vander,I'm fine.
1,,,Sit. Down.
1,,,Those kids look up to you.
1,Vi,Vander,"Yeah, I know."
1,,,"You know, but you don't know."
1,,,"When people look up to you, you don't get to be selfish."
1,Vi,Vander,I'm not...
1,,,"You say run, they run."
1,,,"You say swim, they dive in."
1,,,"You say light a fire, they show up with oil."
1,,,"But whatever happens, it's on you."
1,,,Just like it's on me what happens to us down here.
1,,,"We make ourselves a problem for Piltover, and they will send the enforcers."
1,Vi,Vander,So? Why answer to them?
1,Vi,Vander,These are our streets. Someone should remind them of that.
1,,,You're not hearing me. That path?
1,,,This?
1,,,It's not gonna solve your problems.
1,,,Just makes more of them.
1,,,We clear?
1,,,How'd you get this?
1,Vi,Vander,Some idiot was following us.
1,,,On our side? Who?
1,Vi,Vander,I don't know. He was after the stuff.
1,,,Where is it now?
1,Vi,Vander,We lost it.
1,,,All of it?
1,,,Good.
1,,,Nothing can tie you to what happened up there.
1,,,"You're gonna have to lay low for a bit, understand?"
1,Vi,Vander,Okay.
1,Vi,Vander,"We're gonna be fine, right?"
1,,,I'll take care of it.
1,,,"Oh, you did put that idiot on his ass, though, right?"
1,Vi,Vander,Mm.
1,,,"Get up, Claggor. We're going out."
1,,,"Wait, now?"
1,,,"Hey, hey, that's mine!"
1,,,"You wanna be treated like adults, right?"
1,,,Then you should know better than to come back from a job empty-handed.
1,,,I'm gonna have a little word with your informant.
1,,,"All right, give me the details of exactly what happened up there."
1,,,She's a problem.
1,Vi,Mylo,"Mylo, I'm really not..."
1,,,Do you remember what was in that bag?
1,,,The biggest payout we've ever seen and she just lost it.
1,Vi,Mylo,She made a mistake.
1,,,Name one time she hasn't.
1,Vi,Mylo,She's young.
1,,,Don't bullshit me.
1,,,You were twice the person at half her age.
1,Vi,Mylo,"You know what, Mylo? You're right."
1,Vi,Mylo,There's a bunch of things Powder just can't do.
1,,,You don't have to tell me twice.
1,Vi,Mylo,"Like, complain about everything."
1,,,What?
1,Vi,Mylo,And brag nonstop.
1,,,"Okay, okay, I see where this is going."
1,Vi,Mylo,Pick fights with the group when we need to focus.
1,,,"Vi, I..."
1,Vi,Mylo,And tell strangers on the street that we got a nice haul?
1,,,"I, I didn't mean to..."
1,Vi,Mylo,"Powder's my problem, okay?"
1,Vi,Mylo,Your problem is never knowing when to shut up.
1,Vi,Mylo,But I'm gonna help you with that. Ready?
1,Vi,Mylo,You see this look on my face?
1,Vi,Mylo,This will always mean it's time to shut up.
1,,,But... I...
1,,,Nobody comes in.
1,,,We're closed.
1,,,"Well, open up."
1,,,For good. You can take your worthless junk elsewhere.
1,,,Just as well.
1,,,Owner's the shittiest businessman I know.
1,,,Ekko. What's going on with that thing?
1,,,Give me a few seconds. The cannon pinion's still busted.
1,,,Finish it later. Vander and I need a word.
1,,,But...
1,,,Uh-uh. Off you go.
1,,,Claggor.
1,,,"He-he-hey, Little Man."
1,,,You're a little early.
1,,,My guys are still roundin' up this month's collections.
1,,,"Won't have numbers until next, um..."
1,,,Whoo.
1,,,Why are you muckin' about with this?
1,,,I assume you've heard.
1,,,"Yeah, me and half the undercity."
1,,,How could they be so stupid?
1,,,The younger folk think it's the right thing to do.
1,,,"Yeah, and Vi's one of them."
1,,,Throws herself at trouble wherever she can find some.
1,,,"Eh, they're growing up, Vander."
1,,,Looking to write their own stories. You can't protect them forever.
1,,,Someone was following them.
1,,,"Whole lot of someones, from what I heard."
1,,,Not enforcers.
1,,,Someone on our side.
1,,,Who?
1,,,There's worse things than enforcers out there.
1,,,We both know that.
1,,,"Yeah, I was hopin' you'd be working today."
1,,,Did you guys go?
1,,,Sure did.
1,,,"Hey, listen, how did you find that place?"
1,,,I just...
1,,,"Whoa, did you fight the enforcers?"
1,,,"What? Oh, no. Eh, just some bums."
1,,,"Oh, did Vi kick their asses?"
1,,,"Yeah, I mean, I wouldn't be here otherwise."
1,,,"Oh, she showed me a couple moves to practice. Look."
1,,,"Yeah, it's... it's coming along."
1,,,Ya!
1,,,"Hey, so, how'd you find that place, anyway?"
1,,,"Uh, this weirdo came into the shop."
1,,,Bought a whole bunch of stuff Benzo only keeps there for display.
1,,,He paid in gold and didn't even haggle.
1,,,I charged him double price. Sucker.
1,,,But how did you know where he lived?
1,,,"Uh, followed him."
1,,,How else?
1,,,Oh. Right.
1,,,"Oh, crap."
1,,,Uh...
1,,,They'll be fine. Go.
1,,,"Well, hello."
1,,,"Evening, friends."
1,,,Shit.
1,,,Something I can help you with?
1,,,"Some trencher trash attacked one of the buildings in the Academy district,"
1,,,but you already knew that.
1,,,We're looking for the culprits.
1,,,Got a description?
1,,,"Yeah, it's exactly who you're picturing in that thick head of yours."
1,,,Mm. You think my head is thick?
1,,,"Uh, just past the average."
1,,,"Listen, you shady son of a..."
1,,,"How about you go for a little walk, Marcus?"
1,,,Cool off a bit.
1,,,Go.
1,,,Lovely chap you've brought.
1,,,Don't mind the kid.
1,,,Doesn't know when to pipe down.
1,,,Some things are the same topside and bottom.
1,,,You know this crossed a line upstairs.
1,,,Was anyone hurt?
1,,,A building was blown to bits. What do you think?
1,,,Those who did this will be dealt with.
1,,,That workshop belonged to the Kirammans.
1,,,You know what kind of stuff they had in there?
1,,,Makes this place look like a candy shop.
1,,,The Council needs someone to make an example of.
1,,,People need to feel safe.
1,,,"Yeah, topside people."
1,,,"We had a deal, Vander."
1,,,"You keep your people off my streets, and I stay out of your business."
1,,,Give me a name. We'll do things quiet.
1,,,No one will know you were involved.
1,,,I can't do that.
1,,,You don't seem to grasp how serious this is.
1,,,"If I don't put someone behind bars tonight,"
1,,,"the next time I come down here, I'll have an army of enforcers with me."
1,,,We both know how that'll go.
1,,,"I'm sorry, Grayson, but I can't offer up my own people."
1,,,"If you change your mind, this will reach me."
1,,,And only me.
1,Vi,Jinx,What are you calling this one?
1,Jinx,Vi,Whisker.
1,Vi,Jinx,You wanna talk about today?
1,Jinx,Vi,What's the point?
1,Jinx,Vi,I ruined everything. I always do.
1,Vi,Jinx,Nobody said that.
1,Jinx,Vi,"No. Just that you were ""twice the person"" at half my age."
1,Jinx,Vi,You heard them.
1,Jinx,Vi,I'm not a fighter.
1,Vi,Jinx,You don't have to be.
1,Vi,Jinx,"Look, I've got these and you've got those."
1,Jinx,Vi,They never work.
1,Vi,Jinx,They will.
1,Vi,Jinx,Come with me.
1,Jinx,Vi,What?
1,Vi,Jinx,Come on.
1,Jinx,Vi,What are we doing here?
1,Vi,Jinx,See that gutter running along the canal?
1,Vi,Jinx,That's where Claggor got his foot stuck running from enforcers.
1,Vi,Jinx,"They thought it was funny, so they left him there."
1,Vi,Jinx,He was out all night before we found him.
1,Vi,Jinx,That sign?
1,Vi,Jinx,You see it?
1,Jinx,Vi,Uh-huh.
1,Vi,Jinx,Mylo tripped over his own paint bucket
1,Vi,Jinx,and nearly fell off trying to draw a giant middle finger.
1,Vi,Jinx,His ass made that splotch.
1,Vi,Jinx,And that?
1,Vi,Jinx,"When I was a kid, some guy took my favorite toy and threw it up there."
1,Vi,Jinx,"I used to come out here at night and stare at it,"
1,Vi,Jinx,hoping maybe the wind or a bird might knock it down.
1,Vi,Jinx,We've all had bad days.
1,Vi,Jinx,But we learn. And we stick together.
1,Jinx,Vi,"Oh, I forgot."
1,Jinx,Vi,These were in my pocket.
1,Jinx,Vi,They're from the apartment.
1,Vi,Jinx,What are they?
1,Jinx,Vi,I don't know.
1,Jinx,Vi,Should we show Vander?
1,Vi,Jinx,No.
1,Vi,Jinx,Let's keep this our little secret.
1,Vi,Jinx,"Mylo's wrong, Powder. You're stronger than you think."
1,Vi,Jinx,And one day...
1,Vi,Jinx,this city's gonna respect us.
1,Silco,Deckard,You were supposed to follow them and not interfere.
1,Deckard,Silco,I'm sorry.
1,Deckard,Silco,They just caught us by surprise.
1,Silco,Deckard,Now his accomplice is asking questions about you.
1,Silco,Deckard,That's not a risk I'm willing to take.
1,Deckard,Silco,"The kids. It was their fault, the explosion in the upper city."
1,Silco,Deckard,That was them?
1,Deckard,Silco,Yeah. The topsiders are up in arms looking for 'em.
1,Silco,Deckard,Vander's in trouble.
1,Silco,Deckard,"Smartest thing you ever said, boy."
1,Silco,,Get him a meal.
1,Silco,,But keep him off the streets.
1,Silco,Singed,Our timeline has moved up.
1,Singed,Silco,It's almost ready.
1,Silco,Deckard,Show me.
1,Singed,,Feeding time.
1,Silco,Deckard,And the side effects?
1,Singed,Silco,Stabilizing.
1,Singed,Silco,You have a subject in mind?
1,Silco,Deckard,Someone just volunteered.
,,,
2,Caitlyn,Jayce,You really went to the undercity to get these?
2,Caitlyn,Jayce,Weren't you afraid?
2,Jayce,Caitlyn,"A little danger is worth the risk, don't you think?"
2,Caitlyn,Jayce,Oh.
2,Jayce,Caitlyn,"Uh, careful."
2,Jayce,Caitlyn,That's your parents' money you're dropping.
2,Vi,Jinx,"Powder, we've gotta go!"
2,Jayce,,Hello? Is someone in there?
2,Jayce,,"Hey, open up!"
2,Caitlyn,Jayce,Jayce?
2,Caitlyn,Jayce,Jayce!
2,Jayce,Jayce's mom,Mom!
2,Jayce,Jayce's mom,"Mom. Mom, wake up."
2,Jayce,Jayce's mom,Mom.
2,Jayce,,"Help! Please, someone, help us!"
2,Jayce,,Help! Please!
2,Jayce,,No. Wait. Wait.
2,Jayce,,How?
2,Grayson,Jayce,Let's go over it again.
2,Jayce,Grayson,You have to believe me. I didn't do this.
2,Grayson,Jayce,"Relax, kid. We know it was a break-in but that doesn't explain this."
2,Grayson,Jayce,There's a lot of restricted items here and I don't see any permits.
2,Grayson,Jayce,You wanna tell me how you got them?
2,Jayce,,"Hey, hey! Be careful with that, please."
2,Viktor,,I believe someone should have said that earlier.
2,Viktor,,What happened here?
2,Jayce,,"Science, I guess?"
2,Grayson,Jayce,"Last time I checked, science didn't require illegal equipment."
2,Viktor,Jayce,Nor was this approved by the Academy. Who authorized your research?
2,Jayce,Viktor,It was an independent study. Who are you anyway?
2,Viktor,Jayce,"I'm assistant to the Dean of the Academy,"
2,Viktor,Jayce,who it may serve you to remember is also head of the Council.
2,Viktor,Jayce,He sent me here to ensure that anything dangerous is removed safely.
2,Viktor,Jayce,"Which, according to my list, includes you."
2,Jayce,Viktor,What? How am I dangerous?
2,Viktor,Jayce,"Uh, that's for the council to decide."
2,Heimerdinger,Jayce,Imprisonment. What a curious principle.
2,Heimerdinger,Jayce,"We confine the physical body, yet the mind is still free."
2,Heimerdinger,Jayce,I do love a good conundrum.
2,Heimerdinger,Jayce,I remember the first time I saw you at the Academy.
2,Heimerdinger,Jayce,You reminded me of myself.
2,Heimerdinger,Jayce,A scientist ready to forge a new vector of experimentation.
2,Heimerdinger,Jayce,But sometimes we venture too far.
2,Heimerdinger,Jayce,No great science should ever put lives in danger.
2,Heimerdinger,Jayce,"Be honest, now. What manner of inquiry was this?"
2,Jayce,Heimerdinger,"Professor Heimerdinger, I..."
2,Jayce,Heimerdinger,I believe I've discovered something truly incredible.
2,Jayce,Heimerdinger,A way to harness magic through science.
2,Heimerdinger,Jayce,Magic?
2,Jayce,Heimerdinger,Yes.
2,Heimerdinger,Jayce,No.
2,Jayce,Heimerdinger,No?
2,Heimerdinger,Jayce,"The Arcane is dangerous, Jayce."
2,Heimerdinger,Jayce,A force of nature. Science cannot control it.
2,Jayce,Heimerdinger,But maybe it can.
2,Jayce,Heimerdinger,"I'm close to a breakthrough, I know it."
2,Heimerdinger,Jayce,"How old are you, my boy?"
2,Jayce,Heimerdinger,I'm... I'm 24.
2,Heimerdinger,Jayce,Ah.
2,Heimerdinger,Jayce,"Well, I am now 307 years old."
2,Heimerdinger,Jayce,"All my life, I've pursued the mysteries of science,"
2,Heimerdinger,Jayce,only to discover some are better left unsolved.
2,Heimerdinger,Jayce,"This, I'm afraid, is one of them."
2,Heimerdinger,Jayce,"Own your mistakes before the Council, admit your work was dangerous,"
2,Heimerdinger,Jayce,but speak nothing of magic.
2,Heimerdinger,Jayce,Do that and I theorize you'll get away
2,Heimerdinger,Jayce,"with, um, how do you say, a slap on the wrist."
2,Mylo,Vi,Remind me why we bother with this dump.
2,Vi,Mylo,Vander said to lay low.
2,Vi,Mylo,"Enforcers never come down here, so this is as good a place as any."
2,Claggor,Mylo,"Oh, what's the matter, Mylo? You worried Powder's gonna beat you again?"
2,Mylo,Claggor,"Hey, if she didn't keep fixing these things,"
2,Mylo,Claggor,I wouldn't keep missing.
2,Mylo,Vi,"You guys know I wouldn't take you on a job you couldn't handle, right?"
2,Mylo,Vi,Are you kidding? That was the best job we've ever done.
2,Mylo,Vi,Maybe just don't take Powder next time.
2,Claggor,,Um...
2,Enforcer 1,,Get back.
2,Enforcer 2,,Tell me where I can find them.
2,,,Topsider business ain't my concern.
2,,,It's every one of you trencher's concern now.
2,,,Give me a name.
2,Jinx,,"Hey, guys? You should see this..."
2,,,Search them.
2,Mylo,,"Go ahead, idiots. We've got nothing."
2,,,Go!
2,,,Go!
2,Vi,Jinx,Come on!
2,,,Get them!
2,,,Over here!
2,Vi,Jinx,You need to hide those crystals.
2,Jinx,Vi,"Yeah, no shit."
2,Elora,Mel,The House Ferros received your letter.
2,Elora,Mel,They insist business is steady.
2,Mel,Elora,"Steady is stagnant, Elora."
2,Elora,Mel,They wished me to remind you that it's thanks to their innovations
2,Elora,Mel,that you are the richest person in Piltover.
2,Mel,Elora,Yet I remain the poorest Medarda.
2,,,"Excellent choice, Councilor Medarda. Supreme challenge."
2,,,If I may...
2,Mel,Elora,"We need something revolutionary, Elora."
2,Mel,Elora,Something to put Piltover on the map.
2,Mel,Elora,What of today's trial?
2,Elora,Mel,His name is Jayce of House Talis.
2,Mel,Elora,A House? Remind me.
2,Elora,Mel,They're toolmakers.
2,Elora,Mel,I believe they came to renown for their design of the...
2,Elora,Mel,collapsible pocket wrench.
2,Mel,Elora,But Heimerdinger favors him?
2,Elora,Mel,As far as I can tell.
2,Mel,Elora,Hmm.
2,Mel,servant,This one.
2,,,But that's...
2,,,"Well, that's a child's toy."
2,Mel,servant,Good.
2,,,The boy's got ambition.
2,,,It's why we supported him in the first place.
2,,,"Ambition? Darling, he nearly blew up our daughter."
2,Caitlyn,Mrs. Kiramann,Jayce had nothing to do with that. He was robbed.
2,Caitlyn,Mrs. Kiramann,We need to help him.
2,,,Caitlyn's right.
2,,,"We've known Jayce for years. Besides, we're his patrons."
2,,,"If anyone is meant to speak up for him, it's us."
2,,,We should hit them back. We've got the numbers to beat them.
2,,,Yeah. Let's teach them what it means to mess with us.
2,,,Yeah!
2,Vander,crowd,You sure that's what you want?
2,,,Let's do it.
2,Vander,crowd,"We crossed that bridge once before, and we all know how that ended."
2,,,You're just protecting your kids.
2,Vander,crowd,I'm protecting our people. I'd do the same for any one of you.
2,Vander,crowd,We look out for each other. It's the way it's always been.
2,Vander,crowd,This will blow over. We just need to stand together.
2,,,"The Vander I knew, the one who built the underground,"
2,,,wouldn't be afraid to fight.
2,Vander,,Do I look afraid?
2,,,No.
2,,,You look weak.
2,Claggor,,Why isn't he doing anything?
2,Jinx,,We kicked the Enforcers' butts with just the four of us.
2,Jinx,,Imagine what the whole of the Lanes could do.
2,Mylo,,"Jeez, even Powder wants to fight."
2,Vi,,"So, why aren't we?"
2,Vi,,"Spill it, Ekko."
2,Ekko,,Um...
2,Ekko,,"Oh, okay. Well, um, Vander's got a deal with the Enforcers."
2,Vi,,What deal?
2,Mel,Councilor 1,"For your birthday, Councilor."
2,,,"Ah, Mel, this is too kind."
2,Mel,Councilor 1,I'm told it was built only for the sharpest of minds.
2,,,And I bought you some Ginko nuts.
2,,,Don't you know I'm allergic?
2,,,What are you trying to do?
2,,,Kill an old man?
2,Mrs. Kiramann,,Jayce Talis.
2,Mrs. Kiramann,,You are accused of illegal experimentation and endangering the citizens of Piltover.
2,Mrs. Kiramann,,What do you have to say for yourself?
2,Jayce,,"The materials were far more dangerous than I was aware of,"
2,Jayce,,and I... I now know my actions were against Academy regulations.
2,Jayce,,"What I did endangered people. It was reckless, and for that, I'm sorry."
2,Jayce,,"I ask the Council's forgiveness, and I hope that I can continue my studies."
2,Mrs. Kiramann,,"As Jayce's patron of many years, I can speak for his character."
2,Mrs. Kiramann,,"I believe that one day,"
2,Mrs. Kiramann,,he will be a great contributor to our society.
2,,,He destroyed a building.
2,,,Is this the sort of contribution we can expect?
2,Heimerdinger,,"If you were a scientist,"
2,Heimerdinger,,you'd know you can't make a prototype without breaking a few wrenches.
2,Mel,,Do you have anything to show for your work besides an explosion?
2,Jayce,,"Uh, no. It came to nothing."
2,Mel,,"So, you're saying your study was meaningless?"
2,Jayce,,It was revolutionary!
2,Mel,,Revolutionary how?
2,Mel,,All I see is a boy meddling with things he doesn't understand.
2,,,The Academy seems to have loosened its standards.
2,,,"This is a fine line. If we condone this, what's next?"
2,,,"Ridiculous, really."
2,,,The Council has more important matters to deal with.
2,,,Perhaps we should just finish this...
2,Jayce,,I was trying to create magic.
2,,,Magic?
2,,,Arcane talents are something you're born with.
2,,,They can't be fabricated.
2,Jayce,,"Actually, I believe it is possible."
2,Mel,,Has anyone even tried it before?
2,,,The Arcane is the curse of our world. My race was nearly destroyed by it.
2,Jayce,,"Surely, we, the pioneers of science, can use it for good."
2,Jayce,,We're the champions of discovery. Why fear it when we can master it?
2,Heimerdinger,Jayce,"Jayce, enough."
2,Jayce,,"This is the city of progress, think of the wonders we could create."
2,Jayce,,Let me prove...
2,Heimerdinger,Jayce,Enough!
2,Heimerdinger,Jayce,You don't understand what's at stake.
2,Heimerdinger,Jayce,But how can you?
2,Heimerdinger,Jayce,That's a burden that only I here carry.
2,Heimerdinger,,Time.
,Heimerdinger,,"I've seen this power in the wrong hands. It corrupts, consumes, lays waste to civilizations."
2,Heimerdinger,,"That cannot happen here, my boy. It must not."
2,,,Heimerdinger is right.
2,,,"Piltover was founded to escape the warmongering of mages,"
2,,,not cultivate it.
2,,,The Ethos is clear. He must be banished from Piltover.
2,,,"Please, let me speak!"
2,,,"As a lower house, my voice doesn't carry much weight here."
2,,,"But as a mother, I have a voice that matters deeply."
2,,,My son isn't in his right mind.
2,,,"His entire life, he's chased an impossible dream."
2,,,"What he did was, uh, foolish and unwise."
2,,,"But he has a good heart. Please, let him come home."
2,,,A crime like this can't be overlooked. The boy must be punished.
2,Heimerdinger,,"A violation of the Ethos calls for banishment,"
2,Heimerdinger,,but I can sympathize with a young man's dream to change the world.
2,Heimerdinger,,"Perhaps in this matter, a lesser sentence may suffice."
2,Heimerdinger,,I move that Jayce be summarily expelled from the Academy
2,Heimerdinger,,and remanded to the care of his parents.
2,Heimerdinger,,All those in favor?
2,Heimerdinger,Mrs. Talis,"You may take your son home, Mrs. Talis,"
2,Heimerdinger,Mrs. Talis,but he is to never set foot on Academy grounds again.
2,Marcus,Silco,First time I've been invited to the Lanes. It better be worth my time.
2,Silco,Marcus,"Ah, you see, that's your weakness, Marcus."
2,Silco,Marcus,"You carry your chin so high, you fail to see the opportunity below."
2,Marcus,Silco,Who are you?
2,Silco,Marcus,"You're looking for four children,"
2,Silco,Marcus,the ones running circles around Piltover's finest.
2,Marcus,Silco,What about it?
2,Silco,Marcus,Don't look so concerned. I'm about to make your day.
2,,,Can I come in?
2,Jayce,Mrs. Talis,Hmm.
2,,,I still remember the look on your face when you found these.
2,,,"Jayce, please. If I hadn't spoken, you'd be lost to me."
2,,,I had to say something.
2,Jayce,Mrs. Talis,Magic saved your life.
2,,,"Yes, but it won't save yours now. You need to let it go."
2,Jayce,Mrs. Talis,I could've convinced the Council.
2,Jayce,Mrs. Talis,"If my own family won't help me, I'll find someone who will."
2,Heimerdinger,Viktor,Oh. That foolish boy.
2,Viktor,Heimerdinger,"Yeah, I must admit, his theory intrigues."
2,Heimerdinger,Viktor,"If dangerous ideas didn't excite the imagination,"
2,Heimerdinger,Viktor,we would never wander astray.
